Application #,Patent #
"09/455,674",6470003
"08/562,616",5886645
"12/478,140",8412662
"10/403,711",6936361
"09/665,372",6904094
"11/872,179",7764644
"10/243,519","RE43,831"
"10/660,937","7,519,042"
"09/392,162",6319631
"10/812,601","7,130,511"
"09/649,699",6525677
"09/314,908",6198735
"10/492,107",7079838
"09/573,975",6789205
"13/344,023",8544061
"12/686,442",8310983
"08/617,699",5805977
"12/972,956",8447344
"12/912,457",8126448
"08/996,179","6,105,006"
"12/971,161","8,886,945"
"11/215,916","7,620,398"
"09/665,095",6829475
"10/124,610",7408961
"10/000,598",6996227
"09/001,248","6,175,588"
"08/580,916",6018671
"10/618,158",6859611
"08/781,252",5805095
"09/318,319",6560298
"09/759,846",6987738
"11/027,619",7751431
"09/755,707",6865347
"09/490,979",6859490
"09/667,028",6697637
"13/727,639",8750419
"12/568,787","8,761,392"
"13/619,156","8,973,084"
"08/566,617","5,732,387"
"09/703,046","6,662,010"
"11/966,478","8,314,838"
"11/139,719","7,801,494"
"13/964,032","9,063,564"
"10/222,187",6963061
"08/924,151",6148211
"11/956,710","7,945,004"
"09/999,387",6756142
"12/844,199","8,423,355"
"09/027,819",6105095
"13/295,037","8,725,833"
"11/548,728",7689250
"09/109,229",5956490
"10/235,895",6757337
"08/971,976",5940430
"10/744,721","7,373,013"
"10/371,594","6,999,782"
"09/122,707",5969508
"11/461,107",7809412
"09/065,278",6373829
"09/369,812",6658268
"10/159,994",6944455
"09/028,111",6094628
"09/993,108",6756938
"09/655,996",6671852
"08/598,199",5809538
"11/951,445",7965990
"11/872,233",7929860
"12/059,614","9,054,891"
"10/431,740",6822611
"90/010,282","5,958,006"
"11/491,972",7269402
"11/759,701",7747558
"11/962,880",8068175
"12/192,261","9,060,046"
"09/184,691",6353382
"09/932,913",6586885
"12/605,461","8,442,021"
"09/727,730",6617075
"09/797,557",6503378
"09/086,149","6,141,638"
"12/852,649",8463414
"10/928,235",7138979
"10/372,922",7020444
"08/905,698",5831475
"10/107,755",7602848
"09/409,545",6191738
"10/251,354",6999918
"09/648,776",6564047
"13/455,501","8,897,033"
"10/284,909",6989205
"10/427,120","7,013,143"
"12/786,922","8,451,104"
"09/089,035",5987021
"09/638,944","6,532,593"
"08/584,666",5691981
"09/633,586",6408340
"11/119,852","8,018,893"
"11/257,600",7688755
"10/309,874",7039432
"08/756,466",5831636
"10/408,944","7,145,862"
"09/521,153","6,278,723"
"08/865,665",6167280
"08/587,621",5694431
"10/158,301",7769353
"10/213,852",7170883
"11/369,577","7,330,731"
"09/001,625",6138042
"09/654,698",6281712
"08/854,282",6043786
"09/430,898",6233235
"12/828,990","8,391,188"
"11/674,998","7,778,653"
"10/602,951",7174356
"13/012,849",8656422
"08/625,499",6219840
"09/728,144",6484033
"10/308,831",6937669
"10/372,919",7209717
"10/583,493",7496363
"11/536,216",7697497
"08/847,134",5930681
"12/207,773","7,944,484"
"10/533,281",7319883
"09/549,004",6882709
"11/830,300",7578955
"08/997,959",6199086
"11/481,578","7,822,438"
"11/436,459","7,729,696"
"09/960,458",6768910
"13/458,368","9,003,460"
"09/999,120",6970817
"09/662,859",6791945
"11/243,618",7822544
"12/360,883","8,204,013"
"09/482,243",6333682
"14/098,870","9,213,102"
"09/737,678",7031344
"08/611,848",6123474
"09/512,140","6,307,846"
"13/295,754","8,374,197"
"08/572,837",5656917
"10/383,599",6876543
"12/408,960","8,340,081"
"09/592,758",6832086
"12/640,867","8,344,325"
"10/951,465",7403496
"11/740,690","7,805,137"
"13/738,384","8,923,831"
"11/256,805",7885266
"11/947,588",8064653
"11/360,075",7672246
"12/047,586","7,889,103"
"12/257,072","8,237,750"
"10/324,905",7489703
"08/944,118","5,991,447"
"11/538,326","7,283,697"
"10/139,867",6822950
"13/308,587","9,025,682"
"10/002,047",7042879
"09/494,444",6968158
"10/183,197",7251275
"10/195,858",7108914
"09/190,336",6449264
"08/658,043",5764690
"09/918,250",6587501
"08/904,990",6044158
"12/689,128","8,144,204"
"10/374,553","7,047,310"
"08/941,383",6223035
"09/611,633",6917281
"10/606,423",7567239
"08/657,144",5834756
"10/172,035",6791995
"10/131,414",7020198
"08/572,413",5661635
"08/581,010",5966671
"11/875,376",7844305
"11/457,352",7680482
"09/495,162",6321073
"10/314,650",7095403
"13/239,798",8503324
"09/293,448","6,453,291"
"09/818,767",6901122
"11/730,585",7366481
"08/853,606",5974066
"09/814,991",6845359
"08/609,257",5781547
"11/531,122","7,461,106"
"11/273,973",7236134
"10/035,039",7126996
"09/001,891",6148183
"10/139,844",6907043
"09/088,786",6108046
"12/650,789",8542202
"12/609,864",8139353
"11/694,009",7821466
"11/026,923",7602714
"11/025,164",7262811
"09/560,977","6,658,272"
"12/828,794","8,774,828"
"09/667,354",6421607
"13/415,918","9,036,706"
"10/189,902",6853368
"11/962,833",8401507
"10/370,397","6,795,768"
"13/923,425","8,886,258"
"11/617,020",7681009
"29/415,077",D706804
"09/118,166",6104709
"12/052,641","8,867,454"
"12/767,161","8,340,676"
"08/815,500",5966656
"12/512,408","8,223,217"
"11/772,160",8554271
"08/808,269",5824436
"08/382,338",6009325
"10/356,004",6721562
"10/675,739",7321567
"11/693,028",7873114
"13/327,113","9,019,106"
"08/761,263",5960327
"10/839,995","7,171,603"
"13/596,102","8,885,341"
"10/295,187",6993335
"11/275,589",7508352
"11/286,799",7769402
"14/218,070","9,173,241"
"11/027,626","7,310,375"
"10/420,615",6995889
"12/547,090","8,862,776"
"08/850,540",6052559
"09/063,242",5999115
"11/687,314",8253654
"11/004,067",7398096
"08/824,880",5987032
"10/116,336","7,095,439"
"13/172,918",8750411
"09/045,917",6038535
"12/542,339","9,144,100"
"09/099,313",5937937
"08/895,932",5995840
"11/273,694","7,783,315"
"09/910,401",6725043
"08/779,083",6011909
"10/334,161","7,282,891"
"10/692,623",7929010
"12/976,035","8,966,519"
"09/215,527",6128287
"13/798,211","9,065,518"
"10/008,956",6600369
"11/283,075","7,697,480"
"09/322,093",6040683
"09/667,847",6609004
"08/752,819",5809059
"10/323,428",7231223
"08/962,473",6016422
"11/333,866","7,539,171"
"29/322,465",D600667
"10/807,549",7242923
"11/618,772",7864882
"11/004,520","8,855,596"
"09/629,321",7239896
"10/696,884",7065209
"10/712,427",7787622
"08/770,468",5930288
"09/653,110",6735430
"11/962,866",8019604
"11/286,944",7586990
"08/728,717",5834972
"13/334,292","8,943,015"
"11/753,289",8284761
"11/625,380",8194696
"12/254,720",8040475
"12/273,766","8,818,334"
"10/871,626","7,395,065"
"12/339,685","8,325,147"
"10/423,243","7,640,373"
"11/772,317","9,049,202"
"08/994,526",5978526
"08/655,013",5822314
"14/103,922","9,140,794"
"11/913,935","8,144,687"
"08/719,189",5754953
"11/956,652",8451833
"10/606,477",7187767
"09/617,627",6813778
"09/087,309",5945772
"13/713,918","8,904,424"
"13/251,763",8509319
"11/281,019","7,266,198"
"12/273,974","8,725,500"
"12/024,499",8045501
"11/429,681","7,676,583"
"11/797,349",7480345
"08/990,173",6085252
"10/805,996","7,102,562"
"09/618,376","6,404,764"
"10/341,726","7,027,979"
"08/791,695",5893036
"13/677,755","9,092,612"
"09/717,761",6961427
"08/922,055",6049707
"11/531,746",7821996
"09/096,861",6170005
"10/456,074","6,934,299"
"08/687,882",5818887
"09/838,640",6819173
"13/564,859","8,988,387"
"11/759,409",7853280
"12/971,944",8397982
"11/411,753",7492752
"09/409,359",6141564
"10/630,408",6927747
"09/494,883",6463275
"11/301,301",7558587
"10/651,192",7463979
"10/157,619",6631127
"10/860,959",7548548
"09/322,564",6304558
"09/369,624",6151362
"09/144,236",6031467
"11/769,844","7,482,985"
"09/496,302",6198782
"14/028,986","8,976,957"
"09/236,119",6323849
"10/000,289",6865384
"11/305,780",7331793
"08/962,731",5936464
"11/683,220","8,019,340"
"10/037,965",6532156
"11/908,558",7823155
"12/107,135","9,065,656"
"08/923,251","5,884,772"
"10/334,095","7,085,576"
"10/377,464","7,653,383"
"11/196,112",7548859
"09/271,599",6453040
"10/820,920","7,019,491"
"11/742,269",7884869
"08/400,637",6363246
"11/450,762",7890090
"10/679,022","7,027,824"
"13/836,987","9,152,212"
"11/430,101","7,688,760"
"10/813,476","7,426,175"
"13/561,376","8,810,519"
"11/863,526","8,111,757"
"10/052,828",7058408
"09/181,418","6,353,742"
"09/184,614",6169886
"09/442,792",6256494
"13/345,784","8,891,617"
"08/730,189",5745566
"08/594,602",5738583
"11/311,646",7496366
"10/348,055","7,082,311"
"08/772,665",5854785
"08/950,990","6,011,699"
"09/563,064",6307901
"10/438,594",7212843
"08/976,044",6002342
"09/356,434",6546102
"10/652,134",7290122
"09/179,696",6289377
"09/131,628","5,991,285"
"09/106,540",6118081
