Application #,Patent #
"08/578,773",5604415
"11/412,615","7,826,419"
"09/053,790",6144276
"08/564,464",6018651
"12/845,820",8559294
"11/391,112","7,684,799"
"10/147,738",6824916
"09/836,728",6734898
"08/597,671",5757367
"08/978,392",6128735
"09/197,777",6052600
"09/738,126",6497975
"11/567,866",7724765
"12/337,768",8250001
"12/984,387","8,782,258"
"08/628,361",6486794
"12/542,056",8194604
"09/008,417",6164531
"10/434,541",6944177
"11/004,714",7466747
"13/666,186","8,581,874"
"09/921,201",7002942
"13/106,907",8352508
"12/534,995","8,160,591"
"10/034,572","7,136,909"
"09/736,755","6,920,171"
"10/071,475",7609639
"08/628,172",5631538
"10/730,748",7240143
"09/122,735",6125278
"11/849,444",7869532
"08/347,647",6035191
"08/869,543",6125286
"08/791,123",5877821
"10/973,531","7,136,482"
"13/271,414","8,897,753"
"12/134,754","8,126,836"
"10/611,759",7398100
"13/455,930","9,116,567"
"13/468,185","8,327,237"
"12/853,055","8,642,205"
"11/742,699","7,519,365"
"13/324,525","9,197,925"
"11/216,867",7409606
"09/107,106","6,067,324"
"12/605,443","8,457,112"
"11/461,317","8,971,310"
"13/601,294","8,950,238"
"08/816,914",5948066
"11/846,045","8,761,401"
"10/928,236",7414984
"10/366,433",6970439
"12/520,883",8140081
"11/241,175",7634074
"09/706,894",6486874
"10/446,511",7023871
"11/965,887",7986983
"08/778,992",6002422
"09/087,125",6137883
"12/538,243",8379655
"08/954,348",6157679
"11/209,058","7,804,912"
"10/609,859",6999773
"09/322,649",6178166
"09/128,427",6144704
"12/340,857",8638871
"08/786,380",5825811
"11/686,480",7416414
"11/617,476",7796715
"13/835,353","9,038,195"
"12/108,680","8,249,142"
"08/766,059",5909444
"13/036,793",8249646
"13/659,940",8506368
"11/058,593",7450106
"09/695,554",6732270
"11/936,353","8,700,070"
"11/321,123",7848739
"13/354,201","9,049,454"
"11/219,167",7451460
"12/088,005","8,200,235"
"11/614,259",7974404
"11/323,517","8,176,534"
"09/694,247",6421016
"08/835,894",5716421
"11/836,505","8,712,446"
"11/290,106",8049715
"09/046,013",5929776
"10/435,921",7277394
"09/587,866",6323804
"29/485,247","D736,664"
"12/640,630","8,462,197"
"13/282,018",8637781
"09/828,577","6,820,126"
"11/956,240","8,108,013"
"09/482,999",6625428
"11/324,137",8391165
"12/608,604",8204446
"09/032,879",6045946
"10/703,805",7130740
"11/225,649","7,336,224"
"13/040,109",8396047
"10/314,511",6986957
"09/491,194",6704572
"11/069,971",7509649
"13/409,190","8,640,174"
"12/271,411","8,294,691"
"11/962,531","8,310,454"
"09/074,816","5,966,384"
"11/563,444",7415655
"11/850,115",7965680
"10/427,537",7106814
"11/027,656","7,310,377"
"08/839,732",5877633
"09/560,767","6,549,789"
"09/594,395","6,389,269"
"11/227,011",7202825
"09/333,420",6185266
"08/992,062",6167275
"11/877,073","8,270,972"
"10/803,325","7,460,624"
"08/635,273",5631101
"10/349,062",6937873
"09/166,745",6608861
"10/144,613","6,691,071"
"12/178,287","8,462,890"
"10/297,553",7062246
"11/218,799","7,526,662"
"12/346,971","8,612,961"
"09/504,649","6,414,938"
"11/058,736","7,418,339"
"10/995,957",7634258
"10/530,941",7159168
"09/569,418","6,347,233"
"08/960,476",6084968
"08/959,409",6044276
"10/476,673",7272409
"11/765,515",8179102
"13/802,851","9,066,326"
"11/738,341",7637425
"09/795,585","6,882,677"
"09/818,014",6342774
"08/749,577",6161207
"08/753,075",5760714
"10/235,533",6754280
"08/703,413",5896379
"13/951,265","9,239,928"
"10/179,107",7231206
"12/794,305","8,997,252"
"09/131,143",6327307
"13/834,140","8,953,853"
"11/316,128",7451009
"08/578,115",5966651
"09/779,793",6781969
"10/626,184",8243692
"09/676,059",6389287
"12/749,683","8,018,385"
"13/289,505",8438595
"11/026,394","7,310,376"
"12/335,691",8055222
"09/678,716",6954432
"10/068,443","7,158,482"
"09/013,850",6310898
"10/733,661",7096025
"10/011,180",7126917
"13/221,196","8,712,355"
"08/884,892","6,094,565"
"12/434,743","8,467,786"
"13/160,662","8,671,291"
"12/426,473","8,537,665"
"09/215,813",6173189
"11/276,111",7672269
"13/433,416","8,619,889"
"10/683,627","7,853,215"
"11/275,998","7,532,597"
"13/945,968","9,215,659"
"12/542,280","8,457,074"
"11/300,905",7831887
"09/087,172",5963087
"08/572,468",5893132
"10/108,405",7224674
"12/573,590","8,457,079"
"10/207,589",7375730
"14/173,098","9,125,196"
"12/887,221","8,483,109"
"08/839,185",5974054
"10/880,295",7304572
"11/646,356","7,624,357"
"08/560,732",5949948
"10/307,135",6934751
"11/021,375",7160144
"10/797,379",7769045
"11/763,624","8,379,622"
"12/561,377","8,665,806"
"09/659,318",6640208
"09/356,389",6144186
"09/917,185",6859494
"11/954,787",7904277
"14/093,544","9,082,766"
"09/405,099",6441701
"11/610,592",8744519
"09/016,302",6163585
"08/766,652",5898831
"09/087,888",6088217
"10/902,392",6987888
"08/743,610",5728181
"09/634,609","6,912,507"
"08/786,579",6212550
"13/214,546","8,553,637"
"10/683,106",7071419
"09/737,720",6668173
"12/565,200","8,497,884"
"12/341,357","9,071,440"
"12/259,886",8132102
"09/106,613",6055229
"09/201,560",6104747
"11/838,536","8,145,127"
"11/689,239","8,761,815"
"09/801,892",7164725
"08/923,814",5810989
"12/274,019","8,866,641"
"08/726,891",5778323
"12/505,775","8,462,126"
"10/317,529","6,954,649"
"11/385,367","8,102,812"
"08/791,043",5926104
"12/489,004","8,374,260"
"11/958,978",7825724
"13/260,846","9,230,555"
"10/411,809",7088838
"09/814,539",6466614
"10/563,410",7209750
"11/673,698",7532088
"10/346,611",6996383
"10/775,268",6822973
"09/003,975",6157631
"08/559,583",5710972
"09/312,871","6,141,535"
"12/792,194","9,204,347"
"12/348,512",8666372
"11/647,503",7821955
"10/291,170",7292582
"09/139,079",6078227
"13/495,417",8484692
"12/249,256",7965991
"09/679,994",6832323
"09/170,553",6119010
"12/723,941",8078175
"11/839,518",7881459
"11/315,912","7,653,352"
"10/743,663","7,647,599"
"11/943,647","7,649,839"
"08/829,074",6104726
"11/733,306",7818170
"09/777,767",6862433
"09/378,351",6653915
"11/618,037",7265720
"09/624,402",6720864
"09/252,135",6259741
"09/803,190",6689194
"09/466,645",6473631
"13/363,432","8,953,690"
"09/086,666",6048638
"10/036,790",7499973
"10/203,778",6963730
"13/287,508",8837301
"10/453,211","8,175,154"
"09/468,025","6,449,465"
"10/678,489",8390126
"13/113,590","8,813,238"
"11/026,884",7596116
"10/105,097",7272564
"09/709,727",6836520
"11/617,803","8,995,683"
"12/342,776",8638300
"10/356,901",7184745
"11/380,983",7217369
"10/108,407",6847311
"09/613,798",6889212
"10/284,982",6801590
"08/580,265",6055333
"08/867,645",5959966
"11/347,975",7154942
"10/020,328",6640087
"13/607,225","8,958,472"
"11/252,726",7653398
"10/167,304",7367055
"12/263,590",8396162
"10/053,476",6917977
"11/929,317","7,468,702"
"10/331,379",7035731
"10/607,009","7,023,320"
"11/771,008",7482574
"09/358,674",6556814
"10/037,559",6947760
"10/683,596",7224992
"10/733,616",7493088
"09/022,264",6141453
"12/774,509","8,963,845"
"09/219,913","6,289,129"
"11/201,675","7,865,723"
"12/645,038","8,604,980"
"11/956,640",8036237
"13/247,129","8,868,432"
"13/190,626","8,644,280"
"08/920,441",6156408
"12/843,555","8,433,076"
"09/830,305",6732072
"10/648,552",7336618
"12/511,562","8,964,691"
"12/619,427","8,235,293"
"12/708,171","8,374,338"
"09/415,168",6192256
"09/616,109",6931059
"08/865,848",6097252
"09/478,224",6614806
"10/295,978",7406333
"10/372,981",7082290
"09/705,689",6353359
"11/427,864",7626612
"11/868,526",8422411
"11/699,751",7680745
"12/972,818","9,037,656"
"10/679,911",7555044
"10/772,030",7489942
"08/608,451",5812590
"09/087,192",6201955
"08/753,817",5831476
"10/296,846",7376837
"08/572,603",5815407
"09/309,124",6347127
"08/995,922",6112074
"11/288,842","7,428,416"
"11/613,349",7477699
"08/885,271",5867230
"08/919,515",6181946
"11/476,373",7738930
"13/269,746",8290544
"11/283,337",7590234
"09/938,366",7221672
"14/055,904","9,232,465"
"11/411,632",7602768
"12/958,512","9,197,284"
"11/132,643","7,643,817"
"11/077,298",7076661
"08/588,219",5604660
"09/124,174",6228440
"11/110,126",7269561
"09/393,097","6,246,327"
"10/044,555",7933998
"09/882,840",6959050
"09/737,152",6961384
"09/127,348","6,223,154"
"09/644,528",6493671
"08/616,024",5790545
"12/641,830","8,542,186"
"09/108,420",6091716
"10/140,148",6792534
"10/629,890",7200417
"10/661,653",6947391
"11/225,236","7,620,017"
"08/698,714",5777986
"11/042,269","7,088,294"
"11/026,444","7,183,844"
"13/093,799","9,137,540"
"08/980,435",5929702
"09/925,199",6797427
"08/608,020",5736933
"12/412,592","8,428,513"
"10/889,502",7733919
"09/610,023",6741873
"10/056,157",6922170
"11/563,701",8077694
"09/630,987",6384727
"09/774,840",6480821
"08/780,264",5750284
"09/320,041",6421379
"09/258,985","6,505,058"
"09/488,888",6351531
"11/422,165","7,405,703"
"10/919,819",7312729
"11/959,999",8139195
"09/020,838",6226403
"09/908,898",6498358
"10/798,706",7289728
"09/925,362",6883050
"10/184,286",6766147
"10/600,074",7467214
"08/641,396",6570938
"13/922,274","9,042,289"
"09/583,947",6470049
"10/495,082",7493405
"08/900,461",6163701
"09/051,687",7280592
"09/067,475",5917306
"09/069,586",6188767
"09/649,105","6,487,184"
"08/979,143",6208668
"09/822,653",7117019
"08/734,225",5767738
"09/390,562",6249678
"12/775,252",8321227
"11/289,970",7908396
"11/374,447","7,672,310"
"13/652,726","8,872,916"
"10/919,198","6,996,197"
"12/245,235",8688665
"11/029,256","9,113,438"
"10/942,570",8280425
"10/033,012",6980809
"29/324,602",D616898
"11/561,481",7701839
"08/944,278",6081815
"12/816,817","8,904,172"
"08/857,399",6151397
"09/961,941",6888811
"09/410,780",6122335
"09/575,749",7206847
"13/036,139","8,555,361"
"13/621,381",8483086
"12/542,066","8,744,051"
"11/170,892",7471775
"08/998,749",5942938
"09/611,640",6631260
"11/616,348",7877600
"11/741,348",7723959
"08/879,403","5,867,478"
"10/650,643",7421088
"09/707,537",6529804
"12/271,271",8126516
"08/940,299",6134237
"11/564,606",8050324
"09/087,029",5991618
"13/946,099","9,215,752"
"11/097,736","7,626,920"
"08/583,918",5930307
"10/306,091",7054282
"09/057,166","6,058,107"
"08/854,129",5880633
"12/429,878","8,170,000"
"11/024,895",7499950
"10/027,419",6700867
"10/421,616",6865625
"10/871,664","7,070,349"
"11/025,304","7,386,128"
"09/106,475",5998978
"11/614,262",7941132
"11/839,244",7729028
"12/412,663","8,726,324"
"10/331,290","7,522,675"
"11/496,938","7,899,488"
"10/989,177",7165204
"08/637,960",5806031
"12/167,170","7,612,726"
"08/739,229",5853916
"09/826,180",6768899
"09/498,105",6404807
"09/603,545",6553228
"09/742,905",7065068
"10/835,648",7006491
"10/159,376",6920219
"11/776,833",8039144
"09/443,714",6127802
"08/718,838","5,825,762"
"10/928,559",8089510
"11/531,913",7912009
"09/901,809",6836514
"13/590,209","9,071,347"
"12/935,810","8,787,479"
"11/001,797","6,996,403"
"08/718,636",6173330
"10/368,756",7340396
"08/799,967",5867060
"10/259,638","7,363,044"
"12/651,708","8,996,016"
"12/129,724",7978088
"08/715,508",6014376
"12/238,955",8044828
"10/185,958","6,792,281"
"08/814,395",6373884
"11/425,161",7634251
"11/812,276",7433653
"12/490,352","8,666,318"
"11/428,034",7886355
"08/621,029",5818618
"10/386,346","8,699,990"
"13/173,821","9,035,967"
"08/742,307",6122283
"11/943,249",8643748
"10/071,630",6535548
"09/955,325",6804518
"11/432,897",8355720
"08/684,758",5741609
"11/620,768","7,843,824"
"13/863,295","9,137,151"
"12/347,125","8,462,729"
"09/315,908",6175740
"11/616,948",8601515
"11/428,310",7817733
"14/293,013","9,203,463"
"11/536,859",7449862
"10/626,321","7,246,059"
"09/505,336",6754908
"11/075,540","7,546,149"
"09/817,865",6816895
"11/952,497",7986928
"08/977,731",5896261
"11/147,092",7388923
"10/074,806",7450561
"08/610,028",5745848
"13/597,643","8,902,713"
"09/945,462",7130613
"09/292,733",6134221
"09/694,441",7053883
"11/462,759","8,019,287"
"09/640,296",6347882
"09/580,739",6291756
"12/198,397",8225162
"08/615,381",5940381
"09/344,770",6192247
"13/711,734","8,917,792"
"13/042,064","9,154,814"
"09/902,876",7076528
"08/919,519",5987332
"14/299,323","9,094,878"
"09/229,230","6,070,089"
"10/912,855","7,187,759"
"08/747,081",5905720
"08/699,267",5687056
"12/620,247",8438287
"14/055,901","9,210,536"
"10/886,974",7269642
"09/621,516",6904611
"13/677,282","8,527,012"
"11/024,534",7341183
"10/814,831",8265057
"09/113,391",6064659
"10/383,897",7065521
"10/334,383",7593718
"10/053,338","7,155,255"
"08/576,520",5705955
"10/319,071",7072468
"09/061,112",6000120
"09/124,785",6327303
"09/133,751",6169538
"09/053,432",6233559
"08/649,358",5754739
"09/389,637",6169522
"13/774,408",8651368
"10/966,091",7673063
"12/981,724","8,767,708"
"08/702,423",6072778
"09/238,838",6483874
"13/052,514","8,983,536"
"10/145,909",6661284
"08/678,899",5802484
"11/676,357","7,738,907"
"12/468,843",8813254
"09/638,414",6265977
"13/351,355","8,731,822"
"11/077,814",7747772
"11/956,613",8049747
"12/955,058","8,874,105"
"12/243,590","8,244,250"
"11/643,747",7724806
"11/669,712",7776386
"11/388,034",8050541
"08/728,727","5,920,550"
"11/313,981",7705874
"09/968,299","7,689,448"
"10/145,304","8,601,096"
"10/109,111",7305555
"11/030,034",7447231
"11/422,158","7,271,772"
"09/707,059",6477372
"09/845,243",6963696
"10/733,209",6898208
"12/205,397","8,631,454"
"09/065,314","6,181,685"
"08/921,791",6198748
"09/992,614",6909707
"09/602,265",6889385
"13/452,968","9,007,017"
"10/049,812","7,929,701"
"08/833,461",5705995
"08/578,755",5710975
"09/922,325",6758404
"09/517,193","6,314,301"
"08/810,323",5913167
"13/168,392","9,172,990"
"09/479,042","6,282,182"
"11/765,876",8189581
"11/942,537",8620996
"09/830,754",7487534
"08/607,752",5796777
"10/097,658",7054323
"13/766,691","9,210,425"
"09/692,427",6690655
"11/364,373","7,653,422"
"10/717,769","7,185,091"
"10/489,068",7054665
"10/696,927",7266133
"11/346,795","7,526,451"
"11/863,424",7773224
"09/819,810",6912380
"10/665,954","6,952,573"
"10/057,365",6871074
"08/871,788",5898295
"13/865,078","9,210,138"
"13/324,560","8,725,197"
"12/107,820","8,519,965"
"14/075,131","9,165,531"
"09/327,652",6347228
"08/574,541","5,958,006"
"08/912,711",6085068
"12/951,467","8,667,303"
"13/564,451","8,717,443"
"11/127,433","7,580,713"
"12/526,080",8194648
"13/802,122","9,235,422"
"10/680,836",7113761
"09/692,333",6799062
"10/874,763",6987749
"11/286,568",7558590
"12/361,682",7855878
"11/170,208",7382182
"12/351,926","8,995,548"
"08/940,315",6008636
"09/062,424",6014102
"08/774,977",5909183
"08/912,223",5862453
"13/477,264","8,509,769"
"08/694,079",5864799
"10/953,773",7359721
"10/124,602","7,356,029"
"12/742,418",8219095
"12/469,306","8,199,845"
"09/490,606","6,253,063"
"08/903,582","5,867,054"
"13/959,932","9,042,945"
"10/355,920",6944427
"11/077,302",7516678
"09/446,220",6459891
"10/235,735",6842571
"11/026,413",7929483
"09/616,501",6816472
"10/184,172",7200119
"11/566,980",7647042
"09/770,717",6760604
"09/925,949",6696195
"13/949,349","9,130,784"
"12/463,603","8,193,993"
"12/657,964","RE44,089"
"11/304,020","7,626,998"
"10/330,629",7130342
"29/346,123",D636782
"13/031,418","8,781,452"
"11/636,423",7577915
"08/688,841",5835730
"09/384,988",6493556
"08/888,390",5821006
"12/640,249",8427102
"09/997,515",7321768
"09/511,261",6556131
"09/001,762",6141541
"11/963,053",8842603
"08/900,583",5946620
"11/531,725",7471961
"09/852,865",6980838
"11/228,550",7642753
"08/797,648",5936516
"10/608,309",7453219
"11/168,945","7,508,434"
"11/306,517",8116733
"09/256,280",6182036
"09/597,315",7451476
"09/226,796","6,434,197"
"11/947,992",7723613
"11/194,010",7620403
"10/705,280",6914570
"10/228,592",6710578
"09/482,998",6438225
"10/937,821",7148789
"12/404,660","8,666,417"
"10/830,557",7031273
"09/152,202","6,130,613"
"10/375,013","6,687,259"
"11/868,070",7552267
"10/807,524",7084815
"10/947,689",7570581
"11/457,903",7607075
"08/751,048",5774857
"13/316,895","8,666,753"
"09/460,058",6194975
"11/048,761",7320045
"10/041,052",6853445
"11/347,650","8,059,625"
"11/218,217",7170987
"10/260,940","6,697,016"
"09/151,610",6125137
"09/019,888","6,259,491"
"09/944,569",7164893
"13/561,689","9,118,940"
"08/645,308",5754484
"09/640,515",6665521
"08/741,482",5842210
"10/938,185",7426390
"08/939,720",6081600
"09/590,928","6,647,061"
"10/401,200",7330174
"09/005,674",6006068
"09/473,871",6880170
"11/764,236","8,412,209"
"10/319,091",6947555
"09/732,437",6907027
"12/123,781","7,932,859"
"10/628,200",7098855
"08/586,618",5626729
"08/601,313",5761504
"09/618,399",6387559
"14/010,465","8,970,486"
"09/510,872",6242979
"08/853,772",5977916
"11/744,100","8,761,248"
"10/261,333","6,965,594"
"11/205,922","7,393,149"
"11/204,486",7242957
"09/388,666",6480555
"09/134,320",6163766
"11/861,792",8135418
"09/409,548",6177907
"13/759,406","9,098,789"
"10/502,072",7079824
"11/874,263","8,046,219"
"10/744,032",7002938
"09/911,472",6585424
"08/697,056",5696765
"10/331,384",6977675
"08/749,040",5812602
"09/156,790",6122014
"10/721,542",7106714
"13/410,258","9,027,101"
"12/022,247",8565729
"10/233,212","7,734,316"
"11/427,057",7818632
"12/650,943",8321663
"10/218,548",7013272
"09/160,653",6263191
"12/489,256","8,611,277"
"12/054,828",8280459
"13/027,769","8,930,841"
"12/189,928","7,945,255"
"08/694,004",5930299
"09/032,007","6,161,018"
"90/010,890","5,764,899"
"10/902,363","7,089,012"
"09/150,149",6018360
"09/414,279",6252455
"12/365,166",7940740
"12/938,022","8,520,617"
"10/144,915","6,788,929"
"08/977,913",6195342
"10/831,847",7239620
"11/513,488","7,797,008"
"11/506,692","7,529,416"
"09/517,113",6839387
"13/170,274","8,805,347"
"10/448,555",7277453
"09/619,232",6465119
"13/654,327","8,793,583"
"11/248,313","7,315,523"
"09/504,152",6429811
"09/490,189",6990123
"10/272,964",6794935
"09/469,868",6694149
"12/233,279",8584214
"10/647,776","6,907,019"
"11/239,265","7,729,128"
"29/433,058",D704672
"13/553,927","8,995,947"
"12/184,228",8122476
"09/644,787",6539359
"12/024,159","9,203,663"
"10/661,860",7173606
"10/331,694","7,031,759"
"11/399,800",7643820
"12/135,386",8411670
"13/533,553","9,092,101"
"09/384,493",6211819
"09/291,768",6147984
"13/052,266","8,874,117"
"08/817,043","6,212,382"
"13/310,817","8,205,143"
"09/145,091",6128763
"10/046,083",7177844
"11/240,356",7464863
"10/259,362",7231084
"12/168,951",7944891
"11/122,062",7313369
"10/689,488",7079872
"10/715,222",7295638
"10/455,835",7317797
"08/654,488",5627931
"11/862,343",7872442
"09/775,460",6515222
"08/904,042",6141542
"13/522,726","8,489,117"
"09/516,135",7245933
"13/721,938","8,971,437"
"29/257,269",D559842
"11/404,326","7,680,118"
"12/365,457","8,463,599"
"10/334,606","8,364,951"
"09/761,309",6394826
"09/081,529",6327275
"09/706,283","6,660,427"
"10/743,481",7474747
"09/012,085",6507607
"10/222,317","6,741,554"
"11/273,309",7590044
"13/965,711","9,042,887"
"10/160,895","7,274,683"
"09/052,467",5945852
"12/577,553","8,873,650"
"08/605,560","5,740,534"
"10/646,398",7486792
"08/992,161",6081202
"09/817,336","6,586,124"
"08/803,741",5873044
"10/749,798",6975174
"11/691,186",7705787
"08/808,275",6016312
"08/633,636",5838740
"12/342,722",8000254
"09/631,817",6571112
"12/405,307",8204014
"11/421,024",7657434
"08/926,180",5901344
"10/993,972",7246203
"09/706,558",6600928
"10/324,437","7,117,009"
"09/911,492",6594414
"10/421,113",7342955
"09/629,633",6453160
"11/610,971","7,920,696"
"08/962,920",6060997
"08/627,540",5737404
"13/486,144",8509112
"08/752,367",5873023
"10/744,487",7457590
"08/938,947","6,016,511"
"09/221,058",6091357
"08/845,327",5949771
"13/087,847","9,130,928"
"10/965,462",6983241
"11/005,787",7596224
"09/756,575",6931661
"09/208,783",6148064
"09/769,941",6573782
"08/625,409",5699365
"08/691,764",5729219
"11/293,898",7957763
"13/183,725",8767525
"11/179,104",7613758
"09/035,660",6122488
"11/023,775",7653129
"10/198,329","7,573,958"
"09/086,396","6,415,252"
"11/537,251","7,787,870"
"08/853,620",5987024
"11/313,462",7923938
"11/626,858","7,464,313"
"08/757,991",5832147
"10/870,558",7453831
"11/965,349",8139515
"09/501,922",6901117
"11/611,970",7755615
"12/191,055",8224850
"10/867,863",7233916
"14/078,564","9,230,486"
"09/248,653",6314095
"10/298,097",6724170
"09/395,791",6643512
"10/382,486","7,116,771"
"08/898,755",6114634
"08/712,403",5832223
"08/803,186",5926751
"10/623,750",7010657
"09/079,535",6061574
"11/380,991","7,689,234"
"12/196,414","8,495,115"
"08/792,420",5677085
"11/026,151",7468966
"12/247,318","8,594,207"
"29/478,222","D733,101"
"08/990,957",5848718
"12/723,383","8,125,944"
"09/108,828",5974121
"13/428,137","8,933,877"
"09/408,428",6349314
"08/846,982",6026296
"10/966,775",7692681
"13/221,422","8,841,847"
"08/760,498","5,960,350"
"11/007,567",7522548
"10/262,162",6944289
"10/331,301",7099684
"11/609,139",7774015
"12/169,797",8059556
"10/940,180",7340221
"11/641,391",8417225
"11/727,217",7499689
"09/196,996",6570861
"12/023,054","8,073,062"
"12/983,161","8,369,893"
"12/854,922",8370626
"09/442,250","6,275,488"
"12/329,910",8042150
"09/106,596",6185433
"12/607,219",8311013
"11/612,441",7639131
"09/671,812",6429770
"09/795,704","7,706,336"
"09/738,696",6668164
"11/737,191",8310943
"12/336,768","8,386,260"
"08/556,358",5659622
"08/575,653",5647963
"11/199,348","7,836,294"
"09/260,697",6169887
"12/705,126","8,942,166"
"13/928,470","9,176,614"
"12/365,266","8,350,871"
"11/554,209",7979775
"09/301,679",6469997
"08/846,450",6009323
"11/461,864",7685070
"11/225,235",7680251
"11/275,375",7467352
"09/458,286",6300835
"10/639,952",7843489
"12/039,832",7808340
"11/275,204","7,405,384"
"09/588,262",6671515
"10/230,516","6,990,342"
"10/648,622",7881214
"10/874,611","7,165,205"
"13/169,512","8,976,218"
"09/124,275",6111892
"13/851,223","8,565,558"
"12/129,903","8,295,879"
"08/693,688",5841864
"10/423,095",7024232
"12/474,259","8,462,954"
"10/938,235",8249545
"08/641,395",5812229
"09/800,806",6934303
"11/300,907",7672539
"09/845,703",6545992
"11/171,075",8352853
"12/024,614",8332633
"09/451,074",6366880
"09/799,918",7451312
"10/896,490",8005364
"09/663,554",6904460
"08/642,360",5831976
"11/949,092","8,165,074"
"09/685,702",6430228
"09/305,347",6075484
"10/036,553",6744740
"10/422,376",7310423
"11/609,589",8044989
"12/365,008",8284732
"13/626,938","9,123,328"
"10/789,528",7492753
"10/138,614",6824919
"10/006,176",6963942
"13/759,764","9,167,245"
"08/958,232",6162064
"08/961,824",6060966
"13/594,899","8,879,679"
"09/359,553",6493406
"10/326,767","6,909,761"
"09/664,294",7213062
"10/161,287","7,016,855"
"09/571,185",6430408
"09/564,286",6320477
"11/013,007",7921741
"11/743,348",7949006
"08/699,318",5636298
"10/036,839",7433654
"11/467,344",7672915
"09/365,726","6,526,581"
"10/606,441","7,016,698"
"11/301,426",7672641
"10/022,964",6671525
"10/721,572","7,187,959"
"10/074,970","7,418,239"
"09/665,726",6728531
"09/119,135","6,269,402"
"10/285,153","7,073,041"
"12/343,259","8,707,215"
"11/687,884",8132920
"09/066,656",5962168
"10/615,151",7016475
"11/192,819","7,204,156"
"09/993,764",6639933
"13/240,688","9,185,398"
"11/273,421",7676676
"13/679,720","9,185,408"
"11/749,981",7642136
"10/171,919",6965779
"08/727,352",5665265
"13/548,370","8,498,645"
"13/328,948","9,210,442"
"09/141,835",6359898
"10/223,979",7365651
"11/271,395",7403066
"11/611,975",7345638
"11/564,399",7729433
"09/574,862",6807563
"08/801,444",5764111
"10/638,954",7366416
"08/598,779",5637418
"10/008,720",6643541
"10/960,808",7277731
"08/802,826",5796822
"09/961,671",7027604
"09/443,538",6519239
"08/633,848",5828671
"13/083,724","8,463,313"
"10/232,021",7272128
"10/975,584",7259815
"11/422,681",7542956
"10/682,772","7,366,532"
"11/321,210","8,825,551"
"13/230,224","8,976,128"
"09/889,540",7006446
"09/138,183","6,091,969"
"09/104,245",6246336
"11/191,572",7496145
"12/818,288","8,483,415"
"12/985,262","8,797,284"
"08/639,155",5802044
"10/291,305",6762723
"10/820,655",6999751
"11/020,401",6994575
"09/749,104",6486733
"07/844,027",5959315
"09/061,645","5,974,085"
"08/929,541",6272243
"08/690,708",6359838
"10/331,901","6,760,208"
"11/765,609",7782147
"12/394,081",8249017
"09/311,450",6072790
"10/124,948",6765905
"10/027,426",6996172
"11/018,271",7509259
"09/080,563",6141331
"08/698,632",5787577
"10/974,864",7808185
"10/095,190",7209462
"10/167,840",6980821
"10/656,391",7551613
"11/054,290",7489755
"09/359,280",6438360
"09/602,185",6381467
"09/072,060",6163698
"10/864,942",7916633
"11/462,155",7519830
"10/185,229",7333561
"08/728,115",5790045
"13/230,301","9,069,460"
"09/561,319",6731940
"11/027,869","7,817,718"
"10/247,500",6851930
"09/339,416",6396825
"09/574,545","6,529,525"
"09/009,403",6018667
"08/753,231",5963876
"10/308,797","7,234,119"
"10/340,057",6984516
"10/280,903","6,807,317"
"10/383,106","7,324,801"
"08/840,923",5745579
"11/472,035",7177475
"08/960,814",6052064
"09/971,430",6665283
"10/057,694","7,177,889"
"12/712,392",8406786
"08/882,770",6053743
"09/949,331",6820108
"09/050,297",5999138
"13/249,274","8,565,084"
"13/031,391",8503322
"12/542,572","8,331,937"
"10/607,760",8340972
"10/630,124",7295813
"08/988,434",5953669
"09/071,368",6175628
"10/331,697",7106358
"10/024,890",7047005
"09/164,559",6140807
"12/717,555",8583421
"09/258,986","6,138,034"
"11/295,797",8180365
"11/676,317",7702349
"09/676,904",6529746
"29/186,230",D497713
"08/642,740",5729539
"09/088,043",6118995
"11/027,110","7,769,087"
"10/137,754",6885852
"10/695,009",7505764
"10/175,666",6725021
"10/269,509",7039443
"09/705,003",6754501
"10/787,946","7,698,701"
"10/060,622",6976081
"09/653,620",6658057
"11/375,217",7504936
"11/242,506",7398453
"11/242,254","7,664,091"
"09/765,108",7684565
"11/238,503","7,643,838"
"10/034,794",8799464
"12/193,820",8194762
"14/065,541","9,077,569"
"12/259,385",7957772
"10/744,762",7026789
"12/724,188",8270359
"12/240,264",8224184
"13/955,198",9237225
"12/492,339","8,483,707"
"09/646,022",6751464
"10/678,551",7389235
"08/678,145",5717461
"10/647,355","6,975,881"
"10/124,381",6704046
"11/530,211",7783952
"10/894,506",7092721
"11/911,220","8,005,519"
"09/613,804",6766353
"08/709,247",5768103
"11/765,921","7,890,834"
"11/284,072",7649886
"08/905,822",6097721
"10/691,024",7015760
"13/538,108","8,994,661"
"12/112,747","8,352,371"
"11/339,763",8199731
"13/962,216","9,218,811"
"09/254,671",6330459
"09/839,070","6,526,349"
"13/285,082","8,886,765"
"29/346,127",D636783
"09/128,600",6028485
"09/176,781",6134268
"14/455,490","9,191,500"
"13/205,661","8,848,671"
"13/921,444","8,934,947"
"09/730,691",7969702
"09/584,155",6571229
"08/851,437",5880637
"08/810,718",6041241
"09/860,934",6396726
"08/616,794",5790596
"13/722,148","8,976,884"
"09/512,609",6215995
"12/398,057","8,060,012"
"08/121,809",6092230
"12/121,316",8379995
"10/054,380",6559811
